TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType
30.04.2024 18:17,978905,89916211-0002,REFUNDED,-57409.00,-57121.95,-287.05,KZT,HOME,credit,credit 3 months
30.04.2024 23:06,991351,0149657202-0002,REFUNDED,-45269.00,-45042.65,-226.35,KZT,FASTCASH,credit,credit 12 months
30.04.2024 12:44,992554,0129643711-0023,REFUNDED,-13875.00,-13805.62,-69.38,KZT,HOME,credit,credit 3 months
30.04.2024 00:46,994802,0146690870-0021,ISSUED,570013.00,567162.93,2850.07,KZT,HOME,credit,credit 36 months
30.04.2024 00:56,994808,0162977322-0001,ISSUED,180436.00,179533.82,902.18,KZT,FASTCASH,credit,credit 12 months
30.04.2024 02:05,994847,0143690631-0011,ISSUED,12277.00,12215.61,61.39,KZT,HALYK,credit,credit 6 months
30.04.2024 02:40,994853,0157990512-0002,ISSUED,122134.00,121523.33,610.67,KZT,HALYK,credit,credit 36 months
30.04.2024 03:17,994866,0161097661-0002,ISSUED,61761.00,61452.19,308.81,KZT,HOME,credit,credit 24 months
30.04.2024 03:44,994873,0162968293-0001,ISSUED,38580.00,38387.10,192.90,KZT,HALYK,credit,credit 36 months
30.04.2024 08:00,994920,0158156689-0020,ISSUED,33457.00,33289.71,167.29,KZT,HOME,credit,credit 3 months
30.04.2024 08:15,994925,0153004622-0008,ISSUED,45108.00,44882.46,225.54,KZT,HOME,credit,credit 12 months
30.04.2024 08:43,994936,0143392629-0033,ISSUED,55558.00,55280.21,277.79,KZT,EUABFIS,credit,credit 24 months
30.04.2024 09:05,994950,0132839972-0067,ISSUED,39483.00,39285.58,197.42,KZT,HALYK,credit,credit 36 months
30.04.2024 09:30,994958,0162999166-0003,REFUNDED,-21914.00,-21804.43,-109.57,KZT,HOME,credit,credit 3 months
30.04.2024 09:12,994958,0162999166-0003,ISSUED,21914.00,21804.43,109.57,KZT,HOME,credit,credit 3 months
30.04.2024 09:45,994987,0141393388-0008,ISSUED,10552.00,10499.24,52.76,KZT,HOME,credit,credit 6 months
30.04.2024 09:49,994991,0151178586-0005,ISSUED,48531.00,48288.34,242.66,KZT,HOME,credit,credit 12 months
30.04.2024 10:20,995030,0134180620-0016,ISSUED,12413.00,12350.93,62.07,KZT,HOME,credit,credit 6 months
30.04.2024 10:36,995053,0163002313-0001,ISSUED,50403.00,50150.98,252.02,KZT,EUABFIS,credit,credit 9 months
30.04.2024 10:38,995057,0144178126-0002,ISSUED,62470.00,62157.65,312.35,KZT,HOME,credit,credit 12 months
30.04.2024 10:39,995060,0149682616-0048,ISSUED,30762.00,30608.19,153.81,KZT,HOME,credit,credit 3 months
30.04.2024 10:51,995078,0155975817-0008,ISSUED,10201.00,10149.99,51.01,KZT,HOME,credit,credit 12 months
30.04.2024 11:06,995108,81537515-0006,ISSUED,52876.00,52611.62,264.38,KZT,HOME,credit,credit 12 months
30.04.2024 11:12,995114,0143951299-0065,ISSUED,237017.00,235831.91,1185.09,KZT,EUABFIS,credit,credit 24 months
30.04.2024 11:21,995131,0160770752-0005,ISSUED,43908.00,43688.46,219.54,KZT,EUABFIS,credit,credit 24 months
30.04.2024 11:55,995214,0158811851-0004,ISSUED,24479.00,24356.60,122.40,KZT,HOME,credit,credit 3 months
30.04.2024 12:14,995263,0160770752-0006,ISSUED,160896.00,160091.52,804.48,KZT,EUABFIS,credit,credit 36 months
30.04.2024 12:26,995283,0141284381-0074,ISSUED,39179.00,38983.10,195.90,KZT,EUABFIS,credit,credit 6 months
30.04.2024 12:26,995284,0146996696-0003,ISSUED,29163.00,29017.18,145.82,KZT,EUABFIS,credit,credit 3 months
30.04.2024 12:33,995298,49644927-0011,ISSUED,109123.00,108577.38,545.62,KZT,HOME,credit,credit 6 months
30.04.2024 12:36,995307,0163012642-0001,ISSUED,16630.00,16546.85,83.15,KZT,HOME,credit,credit 3 months
30.04.2024 12:41,995315,0144729028-0005,ISSUED,45148.00,44922.26,225.74,KZT,HOME,credit,credit 3 months
30.04.2024 12:42,995318,0138347549-0006,ISSUED,10836.00,10781.82,54.18,KZT,HOME,credit,credit 3 months
30.04.2024 13:34,995417,0150691993-0008,ISSUED,71498.00,71140.51,357.49,KZT,EUABFIS,credit,credit 9 months
30.04.2024 13:44,995433,90850646-0003,ISSUED,56135.00,55854.32,280.68,KZT,EUABFIS,credit,credit 6 months
30.04.2024 13:57,995454,0141463841-0063,ISSUED,10130.00,10079.35,50.65,KZT,FASTCASH,credit,credit 12 months
30.04.2024 14:19,995500,0154245952-0025,ISSUED,42840.00,42625.80,214.20,KZT,HOME,credit,credit 6 months
30.04.2024 14:29,995526,0155212641-0003,ISSUED,28375.00,28233.12,141.88,KZT,FASTCASH,credit,credit 12 months
30.04.2024 14:45,995565,0137210985-0012,ISSUED,20940.00,20835.30,104.70,KZT,HALYK,credit,credit 6 months
30.04.2024 14:59,995599,0140408452-0014,ISSUED,11984.00,11924.08,59.92,KZT,HOME,credit,credit 3 months
30.04.2024 22:33,995599,0140408452-0014,REFUNDED,-11984.00,-11924.08,-59.92,KZT,HOME,credit,credit 3 months
30.04.2024 15:05,995615,0124399545-0029,ISSUED,75047.00,74671.76,375.24,KZT,HOME,credit,credit 24 months
30.04.2024 15:13,995631,0152723825-0033,ISSUED,32336.00,32174.32,161.68,KZT,EUABFIS,credit,credit 3 months
30.04.2024 15:17,995643,0156276977-0003,ISSUED,17874.00,17784.63,89.37,KZT,HOME,credit,credit 3 months
30.04.2024 16:05,995751,0132186111-0009,ISSUED,78261.00,77869.69,391.31,KZT,HALYK,credit,credit 12 months
30.04.2024 16:06,995753,0160694210-0001,ISSUED,14868.00,14793.66,74.34,KZT,EUABFIS,credit,credit 3 months
30.04.2024 16:40,995810,78907243-0011,ISSUED,11743.00,11684.28,58.72,KZT,HOME,credit,credit 3 months
30.04.2024 16:52,995835,0159944116-0007,ISSUED,88846.00,88401.77,444.23,KZT,HOME,credit,credit 12 months
30.04.2024 17:18,995887,0140540495-0034,ISSUED,192284.00,191322.58,961.42,KZT,HOME,credit,credit 24 months
30.04.2024 17:38,995926,0144723019-0002,ISSUED,47113.00,46877.43,235.57,KZT,EUABFIS,credit,credit 6 months
30.04.2024 17:52,995954,77495091-0104,ISSUED,89913.00,89463.43,449.57,KZT,HOME,credit,credit 6 months
30.04.2024 18:19,995996,0147935591-0010,ISSUED,189588.00,188640.06,947.94,KZT,HOME,credit,credit 3 months
30.04.2024 18:27,996005,83098573-0006,ISSUED,41503.00,41295.48,207.52,KZT,HALYK,credit,credit 36 months
30.04.2024 18:56,996047,0153604969-0024,ISSUED,68881.00,68536.59,344.41,KZT,HOME,credit,credit 6 months
30.04.2024 19:05,996068,0163000192-0003,ISSUED,20748.00,20644.26,103.74,KZT,EUABFIS,credit,credit 3 months
30.04.2024 19:14,996090,0153947835-0002,ISSUED,57968.00,57678.16,289.84,KZT,HOME,credit,credit 3 months
30.04.2024 19:18,996097,0159732913-0006,ISSUED,17875.00,17785.62,89.38,KZT,EUABFIS,credit,credit 3 months
30.04.2024 19:51,996159,0157669573-0023,ISSUED,35845.00,35665.77,179.23,KZT,HALYK,credit,credit 12 months
30.04.2024 19:51,996161,79492166-0005,ISSUED,58864.00,58569.68,294.32,KZT,EUABFIS,credit,credit 24 months
30.04.2024 20:02,996185,0159966292-0006,ISSUED,61927.00,61617.36,309.64,KZT,FASTCASH,credit,credit 12 months
30.04.2024 20:14,996208,0121114133-0002,ISSUED,16463.00,16380.68,82.32,KZT,FASTCASH,credit,credit 12 months
30.04.2024 20:49,996262,0159455142-0013,ISSUED,23799.00,23680.00,119.00,KZT,HOME,credit,credit 3 months
30.04.2024 21:04,996283,0136494420-0030,ISSUED,12178.00,12117.11,60.89,KZT,HOME,credit,credit 3 months
30.04.2024 21:10,996297,0139074590-0104,ISSUED,20291.00,20189.54,101.46,KZT,EUABFIS,credit,credit 3 months
30.04.2024 21:28,996327,0153712839-0005,ISSUED,67132.00,66796.34,335.66,KZT,HOME,credit,credit 12 months
30.04.2024 21:39,996343,0138816141-0007,ISSUED,13368.00,13301.16,66.84,KZT,HOME,credit,credit 3 months
30.04.2024 21:51,996358,0161406439-0008,ISSUED,24408.00,24285.96,122.04,KZT,EUABFIS,credit,credit 6 months
30.04.2024 22:02,996366,0163062862-0002,ISSUED,15493.00,15415.53,77.47,KZT,HOME,credit,credit 3 months
30.04.2024 22:26,996401,89916211-0003,ISSUED,56536.00,56253.32,282.68,KZT,HOME,credit,credit 3 months
30.04.2024 23:04,996451,84096766-0161,ISSUED,14255.00,14183.72,71.28,KZT,EUABFIS,credit,credit 3 months
30.04.2024 23:16,996458,0145169459-0002,ISSUED,59274.00,58977.63,296.37,KZT,HALYK,credit,credit 36 months
30.04.2024 23:36,996479,0149198745-0035,ISSUED,127266.00,126629.67,636.33,KZT,EUABFIS,credit,credit 24 months
